Product Name,Veg/Non-Veg,Description,Cost,Rating
Paneer Butter Masala Combo,Veg Item,"A delectable combo featuring rich and creamy paneer butter masala, perfect for those who crave a delightful vegetarian feast. This item is customizable. Swipe right to add item to cart.",250,2.3
Fried Rice with Chicken Chilli,Non-veg item,Savor the delectable combination of flavorful fried rice and succulent chicken in this mouthwatering combo dish. Swipe right to add item to cart.,265,2.8
Chowmien with Chilli Paneer,Veg Item,A delectable combo of stir-fried noodles and succulent paneer tossed in a tantalizing sauce. Swipe right to add item to cart.,280,3.2
Chowmein With Veg Manchurian,Veg Item,"A delightful combo of stir-fried noodles with delectable vegetable Manchurian, bursting with flavors. Swipe right to add item to cart.",240,2.6
Matar Mushroom Combo,Veg Item,A delectable blend of tender peas and succulent mushrooms served in a delightful veg combo. This item is customizable. Swipe right to add item to cart.,240,2.4
Paneer Fried Rice with Paneer,Veg Item,"A delectable combo of fragrant rice and crispy paneer, creating a harmonious blend of flavors and textures. Swipe right to add item to cart.",280,2.2
Veg Manchurian Combo,Veg Item,"A delectable blend of savory flavors and tantalizing spices, this veg combo dish brings a taste of Manchurian cuisine to life. Swipe right to add item to cart.",260,3.0
Chowmien with Paneer Manchrian,Veg Item,A tantalizing combination of flavorful noodles and delectable paneer in a fusion of Chinese and Indian cuisine. Swipe right to add item to cart.,260,2.3
Matar Paneer Combo,Veg Item,"A harmonious combination of tender peas and homemade cottage cheese, creating a delectable veg dish. This item is customizable. Swipe right to add item to cart.",250,2.8
Kadhai Paneer Combo,Veg Item,"A delectable medley of flavors and textures, this veg combo brings together succulent paneer and aromatic spices in a tantalizing dish. This item is customizable. Swipe right to add item to cart.",250,3.0
Chole Combo,Veg Item,A delectable and flavorful combination of wholesome vegetables that will leave you craving for more. This item is customizable. Swipe right to add item to cart.,199,3.1
Paneer Do Pyaza,Veg Item,"A delectable combination of sumptuous paneer and aromatic spices in a rich, flavorful gravy. Swipe right to add item to cart.",260,2.3
Matar Mushroom Combo,Veg Item,"A delightful combination of tender green peas and savory mushrooms, creating a delectable vegetarian combo. Swipe right to add item to cart.",260,2.8
Chilli paneer,Veg Item,A delectable and tantalizing vegetarian starter with a burst of flavors. This item is customizable. Swipe right to add item to cart.,230,2.7
Honey chilli potato,Veg Item,"A sweet and tangy delight, this crispy potato dish is a perfect way to begin your meal. This item is customizable. Swipe right to add item to cart.",130,3.0
Crispy chilli potato,Veg Item,A delightful and flavorful vegetarian starter with a delightful crispy exterior and a tangy twist. This item is customizable. Swipe right to add item to cart.,110,2.4
Samosa [6 pieces],Veg Item,"Delicately crispy pastry pockets filled with a savory blend of flavors, perfect to kickstart your meal. Swipe right to add item to cart.",120,3.2
Bread roll [4 pieces],Veg Item,"Delight in these delectable, golden-brown bread rolls, offering a tasty start to your meal. Swipe right to add item to cart.",140,3.0
Samosa 6 [6 Pieces],Veg Item,"Flavorful and satisfying, these crispy and golden pastry pockets are packed with a delectable filling that is perfect for starting your meal on a delightful note. Swipe right to add item to cart.",120,3.1
Bread pakoda [2 pieces],Veg Item,"Crispy, golden bites filled with delectable flavors, perfect for a delightful start to your meal. Swipe right to add item to cart.",99,2.9
Chicken chilli,Non-veg item,"Succulent and flavorful chicken with a tantalizing blend of savory spices, perfect to kickstart your meal. This item is customizable. Swipe right to add item to cart.",249,3.2
Vegetarian munchurian,Veg Item,A delectable and flavorful vegetarian delight perfect for starting your meal with a burst of savory flavors. This item is customizable. Swipe right to add item to cart.,199,2.8
Paneer manchurian,Veg Item,A tantalizing vegetarian starter bursting with flavorful goodness. This item is customizable. Swipe right to add item to cart.,235,2.1
Paneer bread roll [4 pieces],Veg Item,"Deliciously stuffed Indian bread rolls filled with flavorful paneer, perfect as a tempting vegetarian starter. Swipe right to add item to cart.",160,3.2
Bread Pakoda 2 [2 Pieces],Veg Item,Crisp and flavorful bread pakodas perfect for a delectable start to your meal. Swipe right to add item to cart.,99,2.7
Poori Sabazi,Veg Item,"A mouthwatering, flavorful main course packed with a delightful combination of vegetables and crispy fried bread. Swipe right to add item to cart.",110,2.5
Kadhai Paneer,Veg Item,A rich and flavorful vegetarian delight that combines succulent paneer with aromatic spices and a luscious gravy. This item is customizable. Swipe right to add item to cart.,230,2.2
Paneer Bhurji,Veg Item,A flavorful and satisfying vegetarian delight that will tantalize your taste buds with its rich and aromatic flavors. This item is customizable. Swipe right to add item to cart.,140,2.4
Poori Sabazi,Veg Item,A flavorful and satisfying main course featuring a combination of fluffy bread and a delectable assortment of vegetables. Swipe right to add item to cart.,110,2.5
Chole Bhatura,Veg Item,A delectable veg main course bursting with rich flavors and hearty textures. Swipe right to add item to cart.,120,3.0
Plain Dal,Veg Item,Delight in a satisfying and comforting veg main course that will warm your heart and soothe your soul. This item is customizable. Swipe right to add item to cart.,99,2.2
Dal Fry,Veg Item,"A flavorful and comforting Indian lentil dish infused with aromatic spices, perfect for a fulfilling main course. This item is customizable. Swipe right to add item to cart.",130,3.1
Paneer Butter Masala,Veg Item,"A rich and flavorful creamy curry with tender paneer, perfect for a satisfying vegetarian main course. This item is customizable. Swipe right to add item to cart.",220,2.4
Paneer Do Pyaza,Veg Item,"A delectable vegetarian delight bursting with flavors and aromatic spices, perfect for a satisfying and hearty main course. This item is customizable. Swipe right to add item to cart.",250,2.2
Mushroom Masala,Veg Item,A delectable and flavorful vegetarian main course that showcases the richness of mushrooms in a tantalizing gravy. This item is customizable. Swipe right to add item to cart.,250,2.6
Matar Masala,Veg Item,A flavorful and aromatic vegetable dish that is perfect for a satisfying and hearty main course. This item is customizable. Swipe right to add item to cart.,240,2.1
Paneer Korma,Veg Item,"A rich and creamy Indian curry featuring tender paneer, perfect for a satisfying and comforting main course. This item is customizable. Swipe right to add item to cart.",220,2.4
Mushroom Matar Masala,Veg Item,"A delectable combination of mushrooms and green peas, bursting with flavors that will satisfy any vegetarian palate. This item is customizable. Swipe right to add item to cart.",249,2.0
Aloo Sbazi,Veg Item,Mouthwatering Indian main course bursting with rich flavors and aromatic spices. This item is customizable. Swipe right to add item to cart.,110,3.1
Matar Paneer,Veg Item,"A delectable vegetarian delight featuring a harmonious blend of green peas and creamy cubes of cottage cheese, perfect for a satisfying main course. This item is customizable. Swipe right to add item to cart.",180,2.8
Aloo Jeera,Veg Item,A fragrant and flavorful potato dish seasoned with aromatic cumin seeds. This item is customizable. Swipe right to add item to cart.,99,2.4
Chilli Paneer Gravy,Veg Item,A delectable vegetarian delight filled with succulent paneer drenched in a luscious and flavorful gravy. This item is customizable. Swipe right to add item to cart.,249,2.6
Plain Dal,Veg Item,"A simple and comforting vegetarian staple, perfect for a satisfying and hearty main course. This item is customizable. Swipe right to add item to cart.",99,2.2
Dal Fry,Veg Item,A delectable and flavorful vegetarian dish perfect for a wholesome and satisfying main course. This item is customizable. Swipe right to add item to cart.,130,3.1
Paneer Butter Masala,Veg Item,A rich and creamy Indian delicacy made with tender paneer simmered in a delectable buttery sauce. This item is customizable. Swipe right to add item to cart.,220,2.6
Kadhai Paneer,Veg Item,"A rich and flavorful vegetarian main course featuring succulent paneer cooked in a traditional kadhai, showcasing the best of Indian flavors. This item is customizable. Swipe right to add item to cart.",230,2.6
Paneer Do Pyaza,Veg Item,A succulent and flavorful vegetarian main course bursting with rich and aromatic flavors. This item is customizable. Swipe right to add item to cart.,250,2.7
Mushroom Masala,Veg Item,A rich and flavorful mushroom dish that will satisfy your cravings for a hearty veggie main course. This item is customizable. Swipe right to add item to cart.,250,2.6
Paneer Korma,Veg Item,A creamy and flavorful Indian specialty featuring a succulent paneer in a rich and aromatic curry sauce. This item is customizable. Swipe right to add item to cart.,220,2.4
Paneer Bhurji,Veg Item,A delectable and flavorful vegetarian delight from India that will satisfy your cravings for a hearty main course. This item is customizable. Swipe right to add item to cart.,140,2.1
Mushroom Matar Masala,Veg Item,A rich and flavorful combination of mushrooms and green peas cooked in a delectable tomato-based gravy. This item is customizable. Swipe right to add item to cart.,249,3.1
Aloo Sbazi,Veg Item,Aloo Sbazi is a delectable vegetarian main course that will leave you craving for more with its tantalizing flavors. This item is customizable. Swipe right to add item to cart.,110,2.3
Matar Paneer,Veg Item,"A flavorful and comforting Indian delicacy filled with soft, creamy paneer cheese and tender green peas. This item is customizable. Swipe right to add item to cart.",180,3.0
Aloo Jeera,Veg Item,A flavorful and aromatic vegetarian main course with a delightful blend of potatoes and cumin. This item is customizable. Swipe right to add item to cart.,99,2.8
Chilli Paneer Gravy,Veg Item,A flavorful and creamy delight featuring succulent paneer in a rich and luscious gravy that will leave you craving more. This item is customizable. Swipe right to add item to cart.,249,2.9
Chole Bhatura,Veg Item,"A flavorful and satisfying combination of a delectable curry and fluffy, deep-fried bread that will tantalize your taste buds. Swipe right to add item to cart.",120,2.1
Jeera Rice,Veg Item,Deliciously seasoned rice sauteed with aromatic and flavorful spices. This item is customizable. Swipe right to add item to cart.,110,2.4
Veg Fried Rice,Veg Item,A flavorful and enticing rice dish packed with a medley of vegetables. This item is customizable. Swipe right to add item to cart.,110,2.1
Chicken Fried,Non-veg item,"A savory fusion of golden-brown fried chicken paired with aromatic rice, offering a delightful blend of flavors. This item is customizable. Swipe right to add item to cart.",199,2.9
Paneer Fried Rice,Veg Item,"An aromatic fusion of fluffy rice and fragrant spices stir-fried with succulent paneer, creating a delightful harmony of flavors. This item is customizable. Swipe right to add item to cart.",145,2.9
Veg Biryani,Veg Item,"A flavorful rice dish infused with aromatic spices and a medley of vegetables, serving satisfaction in every bite. This item is customizable. Swipe right to add item to cart.",140,2.5
Steamed Rice,Veg Item,"A delightful and flavorful rice dish, perfected through the art of steaming. This item is customizable. Swipe right to add item to cart.",99,2.8
Chicken Biryani,Non-veg item,A delectable rice dish showcasing succulent chicken and aromatic flavors. This item is customizable. Swipe right to add item to cart.,220,2.5
Tawa Roti,Veg Item,A delectable and flavorful Indian bread cooked on a hot Tawa. Swipe right to add item to cart.,15,3.1
Barbeque Paneer Paratha,Veg Item,"A flavorful combination of tender paneer and a smoky barbeque sauce, stuffed in a fluffy paratha. Swipe right to add item to cart.",120,2.7
Butter Roti,Veg Item,A scrumptious and flavorful bread cooked with a generous amount of butter. Swipe right to add item to cart.,20,2.1
Aloo Pyaz Mix Paratha,Veg Item,A flavorful combination of potatoes and onions stuffed inside a mouthwatering bread. Swipe right to add item to cart.,85,2.5
Aloo Paratha,Veg Item,"A flavorful and savory bread filled with a delicious, mouthwatering stuffing. Swipe right to add item to cart.",70,2.7
Paneer Paratha,Veg Item,"A flavorful and savory Indian bread stuffed with a delightful cheesy filling, offering a mouthwatering treat for bread lovers. Swipe right to add item to cart.",99,3.2
Gobi Paratha,Veg Item,"A flavorful and satisfying bread with a delightful filling, perfect for a mouthwatering vegetarian treat. Swipe right to add item to cart.",80,3.0
Mix Vegetable Paratha,Veg Item,A delectable blend of assorted vegetables wrapped in a flavorful and satisfying bread. Swipe right to add item to cart.,80,2.6
Paneer Pyaz Mix Paratha,Veg Item,Deliciously layered bread filled with an irresistible combination of paneer and caramelized onions. Swipe right to add item to cart.,110,2.0
Egg Paratha,Non-veg item,"A flavorful and satisfying combination of eggs and flaky paratha, perfect for any time of day. Swipe right to add item to cart.",99,2.4
Cold Coffee,Veg Item,"A refreshing and indulgent blend of velvety smoothness and rich flavors, this chilled beverage is perfect for coffee lovers seeking a cool and satisfying treat. Swipe right to add item to cart.",110,2.2
Hot Coffee,Veg Item,"A tantalizing blend of warmth and rich flavors, with a smooth and comforting taste that will invigorate your senses. Swipe right to add item to cart.",60,2.0
Special Tea,Veg Item,A fragrant and refreshing blend of flavors that will delight your taste buds. Swipe right to add item to cart.,30,3.2
Tea,Veg Item,A refreshing and aromatic beverage that delights the taste buds with its soothing and comforting flavors. Swipe right to add item to cart.,20,2.4
Kulladh Tea,Veg Item,"A satisfying and aromatic traditional tea served in a clay cup, perfect for a soothing and refreshing experience. Swipe right to add item to cart.",35,2.1
Black Coffee,Veg Item,A rich and bold beverage with a deep flavor profile that is satisfyingly smooth. Swipe right to add item to cart.,30,3.1
Black Tea,Veg Item,"Indulge in the rich, aromatic flavors of our refreshing and soothing Black Tea beverage. Swipe right to add item to cart.",20,2.2
Mineral water 1 lite,Veg Item,Mineral water Swipe right to add item to cart.,25,2.6
Paneer Roll,Veg Item,"A delectable veg roll bursting with flavorful ingredients, perfect for a delightful meal. Swipe right to add item to cart.",120,2.3
Egg paneer roll,Non-veg item,"A flavorful combination of succulent egg and creamy paneer, rolled into a delectable treat bursting with taste. Swipe right to add item to cart.",149,3.2
Egg Roll,Non-veg item,"Delicious rolls filled with a delectable egg mixture, offering a savory and satisfying bite. Swipe right to add item to cart.",99,2.0
Egg chicken roll,Non-veg item,"A savory and delectable blend of succulent chicken and fluffy eggs, perfectly wrapped in a wholesome roll. Swipe right to add item to cart.",169,2.3
Paneer chicken roll,Non-veg item,"A delectable combination of succulent chicken and soft paneer, wrapped in a delicate roll. Swipe right to add item to cart.",179,2.8
Cheese Burger,Veg Item,Mouthwatering veggie burger oozing with melty cheese. Swipe right to add item to cart.,90,2.1
Vegetarian Burger,Veg Item,"A mouthwatering burger packed with savory flavors and a satisfying texture, perfect for vegetarians. Swipe right to add item to cart.",60,2.5
Cheese Burger [Double],Veg Item,"A mouthwatering burger packed with savory cheese, perfect for those who crave double the deliciousness. Swipe right to add item to cart.",120,3.1
Paneer Burger,Veg Item,"A flavorful and satisfying vegetarian option, this scrumptious burger offers a delightful combination of paneer and other delightful ingredients. Swipe right to add item to cart.",80,2.9
Chicken Burger,Non-veg item,"A succulent and satisfying burger with tender chicken and mouthwatering flavors, perfect for meat lovers. Swipe right to add item to cart.",120,2.4
Mixed vegetable soup,Veg Item,A flavorful medley of fresh and seasonal vegetables come together in this comforting bowl of goodness. Swipe right to add item to cart.,99,3.0
Hot and sour soup,Veg Item,"A flavorful blend of tangy and savory, this veggie soup is sure to tantalize your taste buds with its zesty flavors. Swipe right to add item to cart.",99,2.8
Sweet corn soup,Veg Item,"A delectable veg delight delicately blending the natural sweetness of corn with a smooth, comforting texture. Swipe right to add item to cart.",99,2.4
Tomato soup,Veg Item,A comforting and flavorful soup bursting with the natural sweetness of tomatoes. Swipe right to add item to cart.,99,2.7
Veg Grilled Sandwich,Veg Item,A delectable grilled sandwich bursting with flavorful vegetables. Swipe right to add item to cart.,55,2.9
Chesse Grilled Sandwich,Veg Item,"A delectable grilled sandwich with melted cheese, bursting with flavors and perfect for vegetarians. Swipe right to add item to cart.",75,3.0
Vegtarian Sandwich,Veg Item,A delightful sandwich filled with fresh and flavorful vegetarian ingredients. Swipe right to add item to cart.,50,2.8
Chesse Sandwich,Veg Item,"A comforting and flavorful sandwich that bursts with gooey, melted cheese in every bite. Swipe right to add item to cart.",70,2.8
Paneer Sandwich,Veg Item,"A delightful and savory vegetarian treat nestled between soft bread, perfect for a quick and satisfying meal. Swipe right to add item to cart.",80,2.3
Potato Sandwich,Veg Item,A delightful and satisfying veg sandwich packed with a mouthwatering filling. Swipe right to add item to cart.,70,2.7
Potato Grilled Sandwich,Veg Item,A grilled sandwich with a flavorful filling that will satisfy your cravings for a savory and satisfying vegetarian meal. Swipe right to add item to cart.,75,2.1
Elaichi Chai,Veg Item,"Serves 1 | Large(3 cups, 150 ml each) Swipe right to add item to cart.",55,2.8
Veg Burger 1 Pcs,Veg Item,"Serves 1 | Savor a juicy and flavorful veggie patty sandwiched between soft buns, perfect for any time of the day. Swipe right to add item to cart.",70,2.2
Plain Maggi,Veg Item,Serves 1 | Serve one Swipe right to add item to cart.,70,2.5
French Fries,Veg Item,Serves 1 | Serve one Swipe right to add item to cart.,80,2.4
